2JH0100,AUDI,JUNTA HOMOCINETICA,JUN HOM AUDI A4 - A6  c/bulon ABS 45D
2JH0100,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Passat 1.9 TDI (00/...) c/bulon ABS 45D
2JH0101,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT Berlingo - Xantia - Xsara - ZX
2JH0101,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 306 - 405 - 406 34 estrias
2JH0102,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT Xsara - Xantia - Berlingo c/ABS 48D
2JH0103,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT Xsara - Xantia  ABS 90D
2JH0103,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 306 - 405 - 406 23 estrias ABS 90D
2JH0104,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT Berlingo - Xantia - Xsara - 34 estrias c/ABS 29D
2JH0105,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT C15 1.8 D (01/89 - 12/97)
2JH0106,DAEWOO,JUNTA HOMOCINETICA,JUN HOM DAE Racer - Lanos
2JH0107,DAEWOO,JUNTA HOMOCINETICA,JUN HOM DAE Tico
2JH0108,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Ducato Maxi 1.8 QII c/ABS 54D
2JH0109,CITROEN,JUNTA HOMOCINETICA,JUN HOM CIT Jumper
2JH0109,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Ducato 10-14 Q Li s/ABS (94/…)
2JH0109,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU Boxer
2JH0110,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Ducato 10-14 Q Li c/ABS 54D (94/…)
2JH0111,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Duna - Uno - Fiorino - 147 - 128/se - Regatta 85´
2JH0112,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Regatta 100/2000
2JH0113,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT 147 - 128 (.../85) - Uno/70s - Uno (.../94)
2JH0114,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Palio - Siena 1.5/ 1.6/ 1.7D
2JH0115,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Palio - Siena c/ABS 44D
2JH0116,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Fiorino Fire 02/
2JH0116,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Idea - Palio/ Weekend - Siena - Strada s/ABS 1.8 8V
2JH0118,ALFA ROMEO,JUNTA HOMOCINETICA,JUN HOM ALFA 145 - 146 - 155 - 164 2.0 s/ABS
2JH0118,FIAT,JUNTA HOMOCINETICA,JUN HOM FIAT Tipo - Tempra
2JH0119,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Escort 1.6 (88/93)
2JH0120,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Escort 1.8 (.../93)
2JH0121,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Ecosport Kinetic (12/…)
2JH0121,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Escort - Fiesta motor Zetec
2JH0121,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Fiesta Kinetic (12/…)
2JH0122,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Mondeo s/ ABS
2JH0123,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Mondeo c/ ABS 44D
2JH0124,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Escort 96/ - Fiesta (95/96) - Courier diesel - KA
2JH0125,FORD,JUNTA HOMOCINETICA,JUN HOM FORD Escort 1.3
2JH0126,FORD,JUNTA DESLIZANTE,JUN DES FORD Galaxy (11-92-...)- Escort 1.8 (93-...)
2JH0128,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Corsa 1.4/ 1.6
2JH0129,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Vectra - Monza s/ ABS
2JH0130,CHEVROLET,JUNTA DESLIZANTE,JUN DES CHEV Corsa 28 dientes (lado caja)
2JH0131,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Astra 1.6 (98/…)
2JH0132,CHEVROLET,JUNTA HOMOCINETICA,JUN HOM CHEV Corsa 1.2/ 1.3/ 1.4
2JH0133,MERCEDES BENZ,JUNTA HOMOCINETICA,JUN HOM MER BENZ 200 - 220 - 230 - Vito (96/…)
2JH0134,NISSAN,JUNTA HOMOCINETICA,JUN HOM NIS Sentra Tsuru II (MEXICO)
2JH0135,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 405 estrias int 22
2JH0136,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 405 - 306 - 406 estrias int 23
2JH0137,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 306- 307- 405 - 406 c/ABS 29D
2JH0138,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 405 31 estrias
2JH0139,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 405 MI 1.9/TD - 306 - 307 c/ABS 90D
2JH0140,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 205- 206
2JH0141,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 306- 405- 406 34 estrias ABS 48D
2JH0142,PEUGEOT,JUNTA HOMOCINETICA,JUN HOM PEU 405 - 306 - Partner estría int 25
2JH0143,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R18 2.0- R21
2JH0144,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R9- R11/Turbo
2JH0145,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R12 4ta
2JH0146,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R12 5ta
2JH0147,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Trafic estrías ext 25
2JH0148,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Trafic estrías ext 23
2JH0149,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Master s/ABS (98/…)
2JH0150,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R18 1.4/ 1.6
2JH0151,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Megane - Kangoo
2JH0152,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Megane c/ ABS 44D
2JH0153,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R21 (Frances)
2JH0154,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R19 1.6 - Clio - Express
2JH0155,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R9 - R11/Turbo
2JH0156,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN R19 1.6 - Clio - Express
2JH0157,RENAULT,JUNTA HOMOCINETICA,JUN HOM REN Laguna 2.2 Turbo Diesel 12V
2JH0158,SUZUKI,JUNTA DESLIZANTE,JUN DES SUZ Vitara- Sidekick (89-95)
2JH0159,SUZUKI,JUNTA HOMOCINETICA,JUN HOM SUZ Swift 1600
2JH0160,TOYOTA,JUNTA HOMOCINETICA,JUN HOM TOY Corona - Celica - Rav4
2JH0161,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Gacel - Gol - Senda - Saveiro - Carat 1.8/ 2.0
2JH0162,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM  VW Golf IV- GTI- VR6  (95/96) - Passat V6 (92/97) c/ABS 45D
2JH0163,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Passat (96/...) 1.8/ TD c/ABS 45D
2JH0164,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW passat 4 Cil. ABS 45D
2JH0165,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Pointer 1.8/2.0 - Golf
2JH0167,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Gacel- Gol- Senda- Saveiro- Carat 1.8/ 2.0
2JH0169,VOLKSWAGEN,JUNTA DESLIZANTE,JUN DES VW Golf- Polo 1.9D - Gacel - Passat (90-92) (Lado Caja)
2JH0170,VOLKSWAGEN,JUNTA DESLIZANTE,JUN DES VW Gacel 1.8- Gol- Carat- Senda (Lado Caja)
2JH0171,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Golf GL/GLI/GTI/diesel - Polo 1.9D
2JH0172,VOLKSWAGEN,JUNTA HOMOCINETICA,JUN HOM VW Transporter (95/…)
2JH0173,VOLKSWAGEN,JUNTA DESLIZANTE,JUN DES VW Pointer- Quantum- Passat (90-92) (Lado Caja)
