11220-SER;SERRAT;RENAULT ;ABRAZADERA ;RENAULT 9 /11/18/19/CLIO ABRAZADERA GOMA P/CREMALL. DIRECC.  ;SM
11221-SER;SERRAT;RENAULT ;ABRAZADERA ;RENAULT 9 / 11 / 18 / 19 / CLIO ABRAZADERA GOMA P/CREMALL. DIRECC.  ;SM
11222-SER;SERRAT;RENAULT ;ABRAZADERA ;RENAULT MEGANE 97-03 ABRAZADERA GOMA P/ CREM DIRECC.;SM
11225-SER;SERRAT;CHEVROLET;ABRAZADERA ;CHEVROLET CORSA ABRAZADERA IZQUIERDA (P/ DIR HIDRAULICA);SM
11226-SER;SERRAT;CHEVROLET;ABRAZADERA ;CHEVROLET CORSA ABRAZADERA GOMA DERECHA (P/ DIR HIDRAULICA);SM
50001P10-SER;SERRAT;NO ESPECIFICADA;ABRAZADERA ;ABRAZADERA METALICA LARGO 150 MM ANCHO 7 MM (BOLSA DE 10 UNIDADES);SM
50002P10-SER;SERRAT;NO ESPECIFICADA;ABRAZADERA ;ABRAZADERA METALICA LARGO 230 MM ANCHO 7 MM (BOLSA DE 10 UNIDADES);SM
50003P10-SER;SERRAT;NO ESPECIFICADA;ABRAZADERA ;ABRAZADERA METALICA LARGO 280 MM ANCHO 7 MM (BOLSA DE 10 UNIDADES);SM
50004P10-SER;SERRAT;NO ESPECIFICADA;ABRAZADERA ;ABRAZADERA METALICA LARGO 330 MM ANCHO 7 MM (BOLSA DE 10 UNIDADES);SM
50005P10-SER;SERRAT;NO ESPECIFICADA;ABRAZADERA ;ABRAZADERA METALICA LARGO 380 MM ANCHO 7 MM (BOLSA DE 10 UNIDADES);SM
50006P10-SER;SERRAT;NO ESPECIFICADA;ABRAZADERA ;ABRAZADERA METALICA LARGO 406 MM ANCHO 7 MM (BOLSA DE 10 UNIDADES);SM
22104G-COR;CORVEN;TOYOTA;AMORTIGUADOR;TOYOTA Rav 4 96>98 Delantero;SM
22181-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 404 >82 Delantero;SM
22181-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 Todos >82 Delantero;SM
22185-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 / 505 82>86 Delantero;SM
22189-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 pick up 81>86 Delantero;SM
22191-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 pick up 86>88 Delantero;SM
22192-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 pick up 88> Delantero;SM
22195-COR;CORVEN;DODGE;AMORTIGUADOR;DODGE 1500 1.5 / 1.8 71>78 Delantero;SM
22197-COR;CORVEN;DODGE;AMORTIGUADOR;DODGE 1500 1.5 / 1.8 78> Delantero;SM
22197-COR;CORVEN;DODGE;AMORTIGUADOR;DODGE 1500 Rural 78> Delantero;SM
22208-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Gol / Gacel / Senda Delantero;SM
22208-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Saveiro Delantero;SM
22208-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Senda Delantero (con aceite) ;SM
22208G-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Gol / Gacel / Senda Delantero;SM
22208G-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Saveiro Delantero ;SM
22208G-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Senda Delantero (A gas presurizados);SM
22211-COR;CORVEN;FORD;AMORTIGUADOR;FORD Galaxy Todos Delantero;SM
22211-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Carat / Santana 87> Delantero;SM
22211-COR;CORVEN;VOLKSWAGEN;AMORTIGUADOR;VOLKSWAGEN Quantum 91> Delantero;SM
22293-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 / 505 86> Delantero;SM
22293-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 504 / 505 86> Delantero;SM
22293-COR;CORVEN;PEUGEOT;AMORTIGUADOR;PEUGEOT 505 88>91 Delantero;SM
22297G-COR;CORVEN;FIAT;AMORTIGUADOR;FIAT Palio / Siena 97>00 Delantero (capsula);SM
22299-COR;CORVEN;FIAT;AMORTIGUADOR;FIAT Strada 99> Delantero (Capsula);SM
22310-COR;CORVEN;CHEVROLET;AMORTIGUADOR;CHEVROLET Monza >90 Delantero;SM
22310-COR;CORVEN;CHEVROLET;AMORTIGUADOR;CHEVROLET Monza 91>93 Delantero;SM
22313-COR;CORVEN;CHEVROLET;AMORTIGUADOR;CHEVROLET Ipanema 86> Delantero;SM
22313-COR;CORVEN;CHEVROLET;AMORTIGUADOR;CHEVROLET Kadett >90 Delantero;SM
